x,y,species logistic values
446.0,446.0,0.008576549
447.0,447.0,0.1768422
448.0,448.0,0.012591063
449.0,449.0,0.19354771
450.0,450.0,0.019769138
451.0,451.0,0.22025757
452.0,452.0,0.12954704
453.0,453.0,0.46868777
454.0,454.0,0.44991514
455.0,455.0,0.28231487
456.0,456.0,0.74575454
457.0,457.0,0.12149513
458.0,458.0,0.2034374
459.0,459.0,0.7612246
460.0,460.0,0.11413995
461.0,461.0,0.0045000254
462.0,462.0,0.3749283
463.0,463.0,0.12670253
464.0,464.0,0.618272
465.0,465.0,0.16391826
466.0,466.0,0.076667726
467.0,467.0,0.72996163
468.0,468.0,0.19179401
469.0,469.0,0.031174865
470.0,470.0,0.09420099
471.0,471.0,0.07561054
472.0,472.0,0.019225892
473.0,473.0,0.24088043
474.0,474.0,0.07466211
475.0,475.0,0.68938017
476.0,476.0,0.042217817
477.0,477.0,0.06869428
478.0,478.0,0.37060854
479.0,479.0,0.34054792
480.0,480.0,0.07584758
481.0,481.0,0.14120416
482.0,482.0,0.091531396
483.0,483.0,0.3570094
484.0,484.0,0.3653352
485.0,485.0,0.111352
486.0,486.0,0.11678817
487.0,487.0,0.4744115
488.0,488.0,0.2805783
489.0,489.0,0.45677266
490.0,490.0,0.25403237
491.0,491.0,0.5181573
492.0,492.0,0.19404072
493.0,493.0,0.6544541
494.0,494.0,0.33434042
495.0,495.0,0.07321743
496.0,496.0,0.27354613
497.0,497.0,0.11494917
498.0,498.0,0.19737224
499.0,499.0,0.17564479
500.0,500.0,0.07501529
501.0,501.0,0.1917322
502.0,502.0,0.08458967
503.0,503.0,0.16469349
504.0,504.0,0.45398918
505.0,505.0,0.065928146
506.0,506.0,0.4619285
507.0,507.0,0.07151846
508.0,508.0,0.4433158
509.0,509.0,0.10705889
510.0,510.0,0.8517877
511.0,511.0,0.073494695
512.0,512.0,0.15736918
513.0,513.0,0.6035791
514.0,514.0,0.16011459
515.0,515.0,0.15271173
516.0,516.0,0.32941428
517.0,517.0,0.08121974
518.0,518.0,0.5919302
519.0,519.0,0.008892578
520.0,520.0,0.014036883
521.0,521.0,0.4661061
522.0,522.0,0.16188343
523.0,523.0,0.35500953
524.0,524.0,0.11397547
525.0,525.0,0.48951453
526.0,526.0,0.3424664
527.0,527.0,0.61276054
528.0,528.0,0.0028042996
529.0,529.0,0.43562892
530.0,530.0,0.0985463
531.0,531.0,0.22569528
532.0,532.0,0.31182876
533.0,533.0,0.07222076
534.0,534.0,0.44172984
535.0,535.0,0.57064795
536.0,536.0,0.37417126
537.0,537.0,0.28703412
538.0,538.0,0.10230089
539.0,539.0,0.011924823
540.0,540.0,0.01246852
541.0,541.0,0.08918772
542.0,542.0,0.07993977
543.0,543.0,0.53694504
544.0,544.0,0.04643686
545.0,545.0,0.43327227
546.0,546.0,0.13752441
547.0,547.0,0.06747804
548.0,548.0,0.19034538
549.0,549.0,0.18737726
550.0,550.0,0.30011466
551.0,551.0,0.06588713
552.0,552.0,0.20449588
553.0,553.0,0.16772541
554.0,554.0,0.12227319
555.0,555.0,0.07824532
556.0,556.0,0.13949238
557.0,557.0,0.44473615
558.0,558.0,0.5215875
559.0,559.0,0.0322787
560.0,560.0,0.014160397
561.0,561.0,0.047837358
562.0,562.0,0.07104657
563.0,563.0,0.14403369
564.0,564.0,0.5573213
565.0,565.0,0.6533796
566.0,566.0,0.024080165
567.0,567.0,0.07112668
568.0,568.0,0.47856805
569.0,569.0,0.014435527
570.0,570.0,0.072824165
571.0,571.0,0.24948864
572.0,572.0,0.6180244
573.0,573.0,0.055906937
574.0,574.0,0.035632875
575.0,575.0,0.2581795
576.0,576.0,0.042131733
577.0,577.0,0.022846244
578.0,578.0,0.060120232
579.0,579.0,0.111697026
580.0,580.0,0.19082288
581.0,581.0,0.16437615
582.0,582.0,0.23733634
583.0,583.0,0.34130526
584.0,584.0,0.16699219
585.0,585.0,0.011329206
586.0,586.0,0.09474767
587.0,587.0,0.010703938
588.0,588.0,0.7539866
589.0,589.0,0.15837546
590.0,590.0,0.21724029
591.0,591.0,0.32137898
592.0,592.0,0.32332098
593.0,593.0,0.18143444
594.0,594.0,0.08686952
595.0,595.0,0.5421217
596.0,596.0,0.002952504
597.0,597.0,0.16207181
598.0,598.0,0.040992685
599.0,599.0,0.08986517
600.0,600.0,0.1660801
601.0,601.0,0.11186637
602.0,602.0,0.15793003
603.0,603.0,0.46687895
604.0,604.0,0.2574002
605.0,605.0,0.078968175
606.0,606.0,0.062371667
607.0,607.0,0.13248107
608.0,608.0,0.16976564
609.0,609.0,0.30264428
610.0,610.0,0.24318999
611.0,611.0,0.10833699
612.0,612.0,0.49594146
613.0,613.0,0.16016197
614.0,614.0,0.044452857
615.0,615.0,0.013687063
616.0,616.0,0.19712038
617.0,617.0,0.21788993
618.0,618.0,0.23433922
619.0,619.0,0.39586633
620.0,620.0,0.09621775
621.0,621.0,0.43676132
622.0,622.0,0.4730084
623.0,623.0,0.25412318
624.0,624.0,0.25367758
625.0,625.0,0.08728462
626.0,626.0,0.048789512
627.0,627.0,0.0028315969
628.0,628.0,0.13920934
629.0,629.0,0.31265116
630.0,630.0,0.14527504
